trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
146,False,"{'a': 0.3, 'e': 0.521222028407029}",20,3,-13.035592571826097,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
147,False,"{'a': 0.3, 'e': 0.5189010646513997}",25,11,-88.31383369024877,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 2}",1
148,False,"{'a': 0.3, 'e': 0.516590435978444}",25,4,-34.046677890894635,"{0: 16, 1: 2, 2: 1, 3: 2, 4: 0}",1
149,False,"{'a': 0.3, 'e': 0.5142900963667912}",35,24,-5.327266538342291,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.3, 'e': 0.5120000000000001}",25,9,-35.76774645168394,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
151,False,"{'a': 0.3, 'e': 0.5097201012656468}",25,14,-2.7074554008181213,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.3, 'e': 0.5074503547544165}",20,1,-100.63786188744419,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 1}",1
153,False,"{'a': 0.3, 'e': 0.5051907152591982}",20,10,-52.18162108730672,"{0: 7, 1: 0, 2: 0, 3: 3, 4: 0}",1
154,False,"{'a': 0.3, 'e': 0.5029411377741856}",35,2,2.2338949258793335,"{0: 28, 1: 3, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.3, 'e': 0.5007015774939795}",25,18,14.838562695527816,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.3, 'e': 0.49847198981269586}",25,0,-25.19880718198034,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
157,False,"{'a': 0.3, 'e': 0.4962523303230777}",20,0,-89.5784192815686,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
158,False,"{'a': 0.3, 'e': 0.49404255481561005}",20,11,6.8310102553614405,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.3, 'e': 0.4918426192776398}",20,14,-11.692999901472575,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
160,False,"{'a': 0.3, 'e': 0.489652479892499}",30,22,-9.660109295995621,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.3, 'e': 0.48747209303863215}",30,0,-53.86263105705434,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 2}",0
162,False,"{'a': 0.3, 'e': 0.4853014152887272}",35,13,0.17378734052810785,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
163,False,"{'a': 0.3, 'e': 0.483140403408851}",30,0,-26.720682484812162,"{0: 24, 1: 4, 2: 0, 3: 2, 4: 0}",0
164,False,"{'a': 0.3, 'e': 0.4809890143575878}",20,4,-47.6187420192625,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
165,False,"{'a': 0.3, 'e': 0.47884720528518215}",25,7,-40.69473513836025,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
166,False,"{'a': 0.3, 'e': 0.4767149335326855}",20,0,-14.326632570350533,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
167,False,"{'a': 0.3, 'e': 0.47459215663110654}",25,0,-24.246816566363247,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
168,False,"{'a': 0.3, 'e': 0.47247883230056503}",30,17,-10.511522421004983,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
169,False,"{'a': 0.3, 'e': 0.4703749184494503}",25,9,-17.778567442260986,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
170,False,"{'a': 0.3, 'e': 0.4682803731735823}",20,10,22.13381621727474,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.3, 'e': 0.4661951547553774}",20,8,-48.19766970957769,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
172,False,"{'a': 0.3, 'e': 0.46411922166301717}",30,17,6.101598009561598,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.3, 'e': 0.4620525325496216}",25,14,-12.876305095093716,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
174,False,"{'a': 0.3, 'e': 0.45999504625242515}",25,0,-58.77603522704347,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
175,False,"{'a': 0.3, 'e': 0.457946721791957}",20,1,-28.588725674478855,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
176,False,"{'a': 0.3, 'e': 0.4559075183712252}",25,11,-46.41387428822679,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
177,False,"{'a': 0.3, 'e': 0.4538773953749035}",30,1,-58.84678243079123,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 1}",1
178,False,"{'a': 0.3, 'e': 0.451856312368523}",25,0,-21.251769207566454,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
179,False,"{'a': 0.3, 'e': 0.4498442290976666}",25,1,-12.238316137470974,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 0}",1
180,False,"{'a': 0.3, 'e': 0.44784110548716677}",25,7,20.99389622703635,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.3, 'e': 0.44584690164030827}",20,0,-92.52466721936548,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",1
182,False,"{'a': 0.3, 'e': 0.44386157783803276}",35,7,-53.57906113865075,"{0: 19, 1: 5, 2: 2, 3: 2, 4: 0}",1
